lon,lat
19.187674,51.288467
19.189137,51.303989
19.218998,51.274715
19.284689,51.278065
19.286238,51.293514
19.287739,51.30904
19.315924,51.264244
19.319098,51.295174
19.320612,51.310707
19.14797,51.333092
19.134594,51.347767
19.194025,51.320145
19.18111,51.334698
19.167646,51.349339
19.154285,51.363781
19.141119,51.378071
19.127758,51.392582
19.114271,51.407059
19.100498,51.421608
19.227001,51.321728
19.21394,51.336285
19.200586,51.350964
19.187227,51.365433
19.174129,51.379753
19.160822,51.394276
19.147369,51.40876
19.133427,51.423306
19.259968,51.323528
19.246721,51.338078
19.233459,51.352783
19.220112,51.367256
19.20694,51.381569
19.193579,51.396084
19.180202,51.41058
19.292843,51.325191
19.279764,51.339745
19.266241,51.354404
19.252947,51.368889
19.239891,51.383221
19.226498,51.397732
19.213022,51.41222
19.199413,51.426796
19.325701,51.326786
19.312725,51.341335
19.299372,51.355999
19.286121,51.370468
19.27298,51.384766
19.259672,51.399269
19.246044,51.413715
19.232363,51.42828
19.319162,51.372036
19.306046,51.38636
19.292656,51.400875
19.279228,51.415375
19.265469,51.429935
19.298374,51.431675
