latitude,longitude,no2,lat1,lat2,lat3,lat4,lon1,lon2,lon3,lon4
50.801365,18.700657,7.302227e-06,50.775246,50.77864,50.827465,50.82407,18.664118,18.750446,18.737425,18.651007
50.80472,18.787409,2.0526399e-05,50.77864,50.78196,50.830784,50.827465,18.750446,18.837536,18.824608,18.737425
50.808002,18.874933,2.3451494e-05,50.78196,50.785202,50.834026,50.830784,18.837536,18.925404,18.912567,18.824608
50.811207,18.96324,2.4945402e-06,50.785202,50.788364,50.83719,50.834026,18.925404,19.014063,19.001322,18.912567
50.814327,19.05235,2.8670649e-05,50.788364,50.791447,50.84027,50.83719,19.014063,19.10353,19.090883,19.001322
50.817368,19.142277,4.374385e-05,50.791447,50.794445,50.843266,50.84027,19.10353,19.193825,19.181273,19.090883
50.820324,19.233036,3.1174135e-05,50.794445,50.79736,50.84618,50.843266,19.193825,19.284962,19.272505,19.181273
50.823193,19.324648,2.3786783e-05,50.79736,50.800186,50.849007,50.84618,19.284962,19.376957,19.3646,19.272505
50.825977,19.41713,2.4201454e-05,50.800186,50.80292,50.85174,50.849007,19.376957,19.46983,19.45757,19.3646
50.828667,19.510498,2.0208223e-05,50.80292,50.80557,50.85439,50.85174,19.46983,19.563599,19.551437,19.45757
50.83127,19.60477,2.1737716e-05,50.80557,50.808125,50.85694,50.85439,19.563599,19.658281,19.646221,19.551437
50.833775,19.69997,3.7946178e-05,50.808125,50.81058,50.859398,50.85694,19.658281,19.7539,19.74194,19.646221
50.83618,19.796112,7.870026e-05,50.81058,50.812943,50.861755,50.859398,19.7539,19.850471,19.838614,19.74194
50.83849,19.89322,4.255656e-05,50.812943,50.8152,50.864014,50.861755,19.850471,19.948019,19.936264,19.838614
50.8407,19.991314,3.9561965e-05,50.8152,50.81736,50.86617,50.864014,19.948019,20.04656,20.03491,19.936264
50.842804,20.090414,2.328156e-05,50.81736,50.81941,50.868217,50.86617,20.04656,20.14612,20.134577,20.03491
50.8448,20.190546,2.97975e-05,50.81941,50.821354,50.87016,50.868217,20.14612,20.246721,20.235283,20.134577
50.846687,20.291727,2.316814e-05,50.821354,50.823185,50.87199,50.87016,20.246721,20.348385,20.337055,20.235283
50.84846,20.393986,3.140674e-05,50.823185,50.824905,50.873707,50.87199,20.348385,20.451136,20.439915,20.337055
50.820724,18.018831,2.0150514e-05,50.794342,50.798294,50.84709,50.84314,17.985397,18.066221,18.052465,17.971556
50.824646,18.100023,2.8309412e-05,50.798294,50.802177,50.85098,50.84709,18.066221,18.147697,18.13403,18.052465
50.8285,18.181875,6.125327e-06,50.802177,50.806,50.8548,50.85098,18.147697,18.229841,18.216259,18.13403
50.832287,18.264399,2.641063e-05,50.806,50.809753,50.858555,50.8548,18.229841,18.312664,18.299168,18.216259
50.836006,18.347609,1.8081771e-05,50.809753,50.81344,50.86224,50.858555,18.312664,18.396177,18.382769,18.299168
50.839657,18.431519,1.3525559e-05,50.81344,50.817055,50.865856,50.86224,18.396177,18.480396,18.467077,18.382769
50.843235,18.51614,2.8405355e-05,50.817055,50.8206,50.8694,50.865856,18.480396,18.565334,18.552105,18.467077
50.846745,18.601488,2.8934415e-05,50.8206,50.824066,50.87287,50.8694,18.565334,18.651007,18.637867,18.552105
50.850178,18.687578,1.3843612e-05,50.824066,50.82746,50.876266,50.87287,18.651007,18.737427,18.724379,18.637867
50.853535,18.774422,3.094615e-05,50.82746,50.830784,50.879585,50.876266,18.737427,18.824608,18.811653,18.724379
50.856815,18.862038,2.1760348e-05,50.830784,50.834026,50.882828,50.879585,18.824608,18.912569,18.899706,18.811653
50.860016,18.950438,1.6562595e-05,50.834026,50.837185,50.88599,50.882828,18.912569,19.001322,18.988552,18.899706
50.86314,19.039642,1.37095685e-05,50.837185,50.840267,50.88907,50.88599,19.001322,19.090885,19.07821,18.988552
50.866177,19.129663,2.1061122e-05,50.840267,50.843266,50.892067,50.88907,19.090885,19.181274,19.168695,19.07821
50.869133,19.22052,3.5730794e-05,50.843266,50.846176,50.894978,50.892067,19.181274,19.272507,19.260023,19.168695
50.872,19.31223,3.1938187e-05,50.846176,50.849003,50.897804,50.894978,19.272507,19.3646,19.352213,19.260023
50.874783,19.404808,3.7875e-05,50.849003,50.85174,50.90054,50.897804,19.3646,19.457571,19.445284,19.352213
50.877476,19.498274,3.160887e-05,50.85174,50.854385,50.903183,50.90054,19.457571,19.551437,19.539251,19.445284
50.880074,19.592648,3.7091027e-05,50.854385,50.856937,50.905735,50.903183,19.551437,19.646221,19.634134,19.539251
50.882576,19.687946,6.629495e-05,50.856937,50.859394,50.90819,50.905735,19.646221,19.741941,19.729954,19.634134
50.884983,19.784191,7.5993965e-05,50.859394,50.86175,50.910545,50.90819,19.741941,19.838615,19.82673,19.729954
50.88729,19.881401,5.3020634e-05,50.86175,50.86401,50.912804,50.910545,19.838615,19.936264,19.924484,19.82673
50.8895,19.979599,2.2927916e-05,50.86401,50.866165,50.91496,50.912804,19.936264,20.034912,20.023235,19.924484
50.891598,20.078804,2.5434463e-05,50.866165,50.868217,50.917004,50.91496,20.034912,20.134577,20.123007,20.023235
50.893593,20.17904,3.0768722e-05,50.868217,50.87016,50.918945,50.917004,20.134577,20.235283,20.22382,20.123007
50.89548,20.28033,1.4994886e-05,50.87016,50.871986,50.920773,50.918945,20.235283,20.337055,20.325699,20.22382
50.89725,20.382698,2.9563604e-05,50.871986,50.873703,50.922485,50.920773,20.337055,20.439915,20.428667,20.325699
50.86955,18.005037,2.5776606e-06,50.84314,50.84709,50.895947,50.891994,17.971556,18.052465,18.038721,17.957726
50.873466,18.086313,2.2810536e-05,50.84709,50.85098,50.899834,50.895947,18.052465,18.13403,18.12037,18.038721
50.877323,18.168253,2.8143248e-05,50.85098,50.8548,50.903656,50.899834,18.13403,18.216259,18.202686,18.12037
50.88111,18.250864,2.1216592e-05,50.8548,50.858555,50.907413,50.903656,18.216259,18.299168,18.285685,18.202686
50.88483,18.334162,9.288967e-06,50.858555,50.86224,50.9111,50.907413,18.299168,18.38277,18.369375,18.285685
50.88848,18.41816,2.4666027e-05,50.86224,50.865856,50.914715,50.9111,18.38277,18.467077,18.453772,18.369375
50.892063,18.50287,2.1525768e-05,50.865856,50.8694,50.91826,50.914715,18.467077,18.552105,18.53889,18.453772
50.89557,18.58831,1.557765e-05,50.8694,50.87287,50.92173,50.91826,18.552105,18.637867,18.624744,18.53889
50.899002,18.67449,1.1134381e-05,50.87287,50.876266,50.925125,50.92173,18.637867,18.724379,18.711346,18.624744
50.902363,18.761427,2.839244e-05,50.876266,50.879585,50.928444,50.925125,18.724379,18.811653,18.798714,18.711346
50.905643,18.849134,2.670382e-05,50.879585,50.882828,50.931686,50.928444,18.811653,18.899706,18.88686,18.798714
50.908844,18.93763,2.1123444e-05,50.882828,50.88599,50.934845,50.931686,18.899706,18.988552,18.975801,18.88686
50.911964,19.026926,1.9220193e-05,50.88599,50.88907,50.937927,50.934845,18.988552,19.07821,19.065554,18.975801
50.915005,19.117044,2.7372907e-05,50.88907,50.892067,50.94092,50.937927,19.07821,19.168695,19.156136,19.065554
50.917957,19.207996,3.3423592e-05,50.892067,50.894978,50.943836,50.94092,19.168695,19.260023,19.24756,19.156136
