lon,lat
19.380445,51.082169
19.410067,51.100693
19.412924,51.084641
19.442694,51.103153
19.416264,51.068798
19.445765,51.087101
19.475281,51.105606
19.419506,51.053032
19.448822,51.071255
19.478203,51.08955
19.507959,51.108044
19.451832,51.055489
19.480982,51.0737
19.510872,51.091988
19.540644,51.110474
19.455444,51.04007
19.484249,51.057934
19.513548,51.076134
19.543407,51.094414
19.573195,51.112892
19.487986,51.042515
19.516491,51.060371
19.546251,51.078564
19.576084,51.096832
19.605705,51.115303
19.491215,51.026947
19.52013,51.044952
19.549229,51.062798
19.579006,51.080982
19.608267,51.099243
19.49423,51.011265
19.523794,51.029381
19.552813,51.047379
19.581837,51.065216
19.611271,51.083389
19.526709,51.013699
19.585184,51.049797
19.614357,51.067623
19.64403,51.085789
19.588558,51.034225
19.61787,51.0522
19.646879,51.070023
19.562544,51.000729
19.591539,51.018539
19.621145,51.036629
19.650518,51.054596
19.594755,51.003151
19.624161,51.020947
19.65365,51.039028
19.62743,51.00555
19.656582,51.023342
19.686466,51.041412
19.659817,51.00795
19.689388,51.025726
19.692566,51.01033
19.278502,51.202198
19.292065,51.187183
19.310116,51.204685
19.324646,51.189659
19.343208,51.207153
19.321728,51.157463
19.358175,51.192112
19.376183,51.209602
19.335936,51.142914
19.35387,51.159931
19.407742,51.212059
19.350164,51.128181
19.368528,51.14537
19.38665,51.162384
19.404951,51.17968
19.421766,51.19701
19.439753,51.214481
19.365158,51.113281
19.38356,51.130627
19.401846,51.147812
19.419785,51.164822
19.455984,51.199444
19.474155,51.216919
19.378832,51.09864
19.415445,51.133087
19.433609,51.150269
19.451321,51.167274
19.469578,51.184559
19.487698,51.201881
19.50606,51.219349
19.410994,51.101097
19.429279,51.118198
19.447777,51.135529
19.466156,51.152702
19.484409,51.169697
19.50275,51.186977
19.521049,51.204288
19.444477,51.103519
19.462736,51.120621
19.499573,51.155113
19.517473,51.172108
19.535727,51.189384
19.476185,51.105965
19.494522,51.123055
19.513018,51.140373
19.531143,51.157543
19.54937,51.174526
19.509157,51.108376
19.546028,51.142776
19.564301,51.159939
19.542387,51.110775
19.578966,51.145172
19.606949,51.115585
19.271843,51.263649
19.28162,51.280121
19.291296,51.296593
19.275209,51.216839
19.304598,51.266109
19.314388,51.282578
19.298025,51.202873
19.307911,51.219299
19.330662,51.205326
19.340672,51.221745
19.363319,51.207771
19.373156,51.22419
19.38324,51.240791
19.392982,51.25721
19.396055,51.210201
19.40555,51.226631
19.415833,51.243217
19.427563,51.212669
19.461315,51.215038
19.471209,51.231449
19.493988,51.217438
