"lon","lat","ff.xco2","time","obs","uncert","qf","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","obs_enhance","uncert_bg","ver_0.8","ver_0.9","ver_1.1","ver_1.2","wind_ff.xco2","uncert_ver","uncert_ver_percent","uncert_wind","uncert_wind_percent","uncert_trans","uncert_trans_percent","uncert_total","uncert_total_percent"
19.098898,51.23494,0,"2020-04-17 09:42:37",417.799316,0.456289,0,51.225677,51.228191,51.24419,51.241688,19.077942,19.110596,19.119904,19.087128,2.41931599999998,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.810616833973364,Inf
19.108595,51.25119,0,"2020-04-17 09:42:37",416.746826,0.521255,0,51.242313,51.244823,51.260059,51.257553,19.087646,19.120422,19.129303,19.09668,1.366826,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.848885607738169,Inf
19.11524,51.189648,0,"2020-04-17 09:42:21",416.052826,0.590786,0,51.180035,51.182575,51.199265,51.196728,19.090302,19.121979,19.139282,19.107635,0.672825999999986,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.89326821156694,Inf
19.118231,51.267677,0,"2020-04-17 09:42:37",415.590363,0.576943,0,51.258148,51.260651,51.277203,51.2747,19.097107,19.12973,19.139191,19.106628,0.210363000000029,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.884173752861393,Inf
19.126177,51.142456,0,"2020-04-17 09:42:22",415.395813,0.577638,0,51.133194,51.135712,51.151733,51.149216,19.100708,19.134094,19.150665,19.117432,0.0158129999999801,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.884627412555139,Inf
19.127787,51.284164,0,"2020-04-17 09:42:37",413.984802,0.630393,0,51.275146,51.277653,51.293171,51.290668,19.106903,19.139496,19.14859,19.115936,-1.39519799999999,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.919943114789714,Inf
19.128761,51.174656,0,"2020-04-17 09:42:21",416.75061,0.519331,0,51.165203,51.167728,51.184097,51.18158,19.104156,19.136749,19.153992,19.121155,1.37061,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.847705542957577,Inf
19.132763,51.298916,0,"2020-04-17 09:42:55",415.315582,0.610741,0,51.290066,51.292545,51.307755,51.305271,19.115387,19.14801,19.150146,19.117462,-0.0644179999999892,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.906589526236102,Inf
19.134804,51.190456,0,"2020-04-17 09:42:38",415.272858,0.599081,0,51.181217,51.18372,51.199688,51.197189,19.113861,19.146393,19.155701,19.123077,-0.10714200000001,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.898775858910886,Inf
19.137304,51.300762,0,"2020-04-17 09:42:37",414.598419,0.645736,0,51.291611,51.294113,51.30991,51.307415,19.116394,19.149017,19.158264,19.12561,-0.781581000000017,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.9305240360657,Inf
19.137648,51.330448,0,"2020-04-17 09:42:55",414.594604,0.617013,0,51.32172,51.324203,51.339161,51.336681,19.120239,19.152893,19.154999,19.122314,-0.785395999999992,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.910826570851444,Inf
19.139965,51.346085,0,"2020-04-17 09:42:55",414.902924,0.553926,0,51.337238,51.339722,51.354919,51.352436,19.122528,19.155212,19.157318,19.124634,-0.477076000000011,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.869329634532264,Inf
19.140642,51.127937,0,"2020-04-17 09:42:22",416.242493,0.569745,0,51.118275,51.1208,51.1376,51.135071,19.115784,19.147919,19.165253,19.133301,0.862493000000029,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.879493811817343,Inf
19.142296,51.361523,0,"2020-04-17 09:42:55",414.962158,0.506104,0,51.353046,51.35553,51.369991,51.367508,19.124847,19.157532,19.159668,19.126953,-0.417842000000007,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.839667350095262,Inf
19.144131,51.159798,0,"2020-04-17 09:42:22",414.560272,0.628302,0,51.14983,51.152348,51.169769,51.167255,19.118164,19.151398,19.16922,19.136322,-0.819727999999998,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.91851151500893,Inf
19.144684,51.20689,0,"2020-04-17 09:42:38",416.768921,0.590471,0,51.197651,51.20015,51.216125,51.213627,19.123688,19.156342,19.16568,19.133026,1.38892099999998,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.893059909435532,Inf
19.147013,51.192184,0,"2020-04-17 09:42:21",415.764069,0.606872,0,51.182575,51.185101,51.201782,51.199268,19.12204,19.154907,19.172607,19.139374,0.384069000000011,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.90398762402148,Inf
19.154629,51.113239,0,"2020-04-17 09:42:22",415.794861,0.584616,0,51.103733,51.106258,51.122738,51.12022,19.130066,19.162323,19.179443,19.147186,0.41486100000003,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.889199565595935,Inf
19.15464,51.223515,0,"2020-04-17 09:42:38",415.973877,0.432659,0,51.214401,51.2169,51.232624,51.230133,19.133698,19.166351,19.175385,19.142883,0.59387700000002,0.67,0,0,0,0,0,0,NA,0,NA,0,NA,0.797554894838594,Inf
