"date","estimate","uncertainty","expected","ODIAC","mean_bg_test","bg_sd","downwind_domain_test","downwind_domain_test_sd"
"2020-04-08",79.909632,3.4746624,86.125248,111.1815936,85.4257536,5.7062016,73.332864,2.299968
"2020-04-10",84.3042816,5.7442176,85.8059136,111.1815936,107.8095744,20.604672,124.8597504,3.1667328
"2020-04-17",80.2175616,2.1060864,78.7653504,111.1815936,80.5711104,3.269376,93.5877888,5.1169536
"2021-06-18",64.0987776,1.5244416,89.109504,98.55648,72.5953536,16.5027456,82.0537344,18.3465216
"2021-06-19",75.0854016,5.6909952,66.9309696,98.55648,84.8289024,8.4699648,90.173952,1.1670912
"2021-06-20",24.8092416,3.2541696,43.9046784,98.55648,35.2826496,9.3443328,41.0078592,4.1513472
"2021-10-08",56.9517696,3.0945024,64.132992,119.5299072,61.2703872,6.101568,52.4354688,0
"2021-10-09",38.6888832,2.3531904,47.4971904,119.5299072,40.4604288,10.1996928,34.1497728,25.907904
"2022-10-13",103.0575744,3.3568128,80.6471424,119.5299072,97.9368192,7.1964288,91.7782272,8.3179008
