latitude,longitude,no2,lat1,lat2,lat3,lat4,lon1,lon2,lon3,lon4
50.8057,20.40754,3.3943717e-05,50.77664,50.786613,50.83474,50.82476,20.39449,20.443823,20.42059,20.371208
50.815643,20.456892,3.854712e-05,50.786613,50.79653,50.844666,50.83474,20.443823,20.493149,20.469963,20.42059
50.803253,20.137115,3.2710406e-05,50.774086,50.78433,50.83242,50.82217,20.124153,20.173592,20.150127,20.100641
50.813473,20.186571,3.7309375e-05,50.78433,50.794514,50.842613,50.83242,20.173592,20.223015,20.199598,20.150127
50.82364,20.23601,3.8800565e-05,50.794514,50.80465,50.852757,50.842613,20.223015,20.272425,20.249056,20.199598
50.83375,20.285437,3.1031333e-05,50.80465,50.81473,50.862846,50.852757,20.272425,20.321821,20.2985,20.249056
50.843807,20.334852,3.6644327e-05,50.81473,50.82476,50.872883,50.862846,20.321821,20.371208,20.347935,20.2985
50.853817,20.38426,4.114574e-05,50.82476,50.834736,50.882866,50.872883,20.371208,20.42059,20.397364,20.347935
50.86377,20.43366,4.049318e-05,50.834736,50.844666,50.8928,50.882866,20.42059,20.469963,20.446787,20.397364
50.80989,19.915445,3.343033e-05,50.780617,50.79109,50.839123,50.82864,19.90249,19.952063,19.928392,19.87877
50.820335,19.96503,3.3884608e-05,50.79109,50.801502,50.849545,50.839123,19.952063,20.001612,19.977987,19.928392
50.830727,20.01459,2.398353e-05,50.801502,50.811863,50.859913,50.849545,20.001612,20.051138,20.027561,19.977987
50.841064,20.064129,3.0448009e-05,50.811863,50.822166,50.870224,50.859913,20.051138,20.100643,20.077114,20.027561
50.851345,20.113647,2.3735876e-05,50.822166,50.832417,50.88048,50.870224,20.100643,20.15013,20.126648,20.077114
50.861572,20.16315,4.430512e-05,50.832417,50.842613,50.890682,50.88048,20.15013,20.1996,20.176167,20.126648
50.871742,20.212637,4.8642432e-05,50.842613,50.852753,50.900833,50.890682,20.1996,20.249056,20.22567,20.176167
50.881863,20.262112,5.2652904e-05,50.852753,50.862843,50.910927,50.900833,20.249056,20.2985,20.275164,20.22567
50.891926,20.311575,4.3436317e-05,50.862843,50.87288,50.92097,50.910927,20.2985,20.347937,20.324646,20.275164
50.901943,20.36103,5.231115e-05,50.87288,50.882862,50.93096,50.92097,20.347937,20.397364,20.374123,20.324646
50.911903,20.41048,2.8804121e-05,50.882862,50.892796,50.940903,50.93096,20.397364,20.446787,20.423594,20.374123
50.921814,20.459925,2.3882465e-05,50.892796,50.90268,50.950794,50.940903,20.446787,20.496206,20.47306,20.423594
50.804737,19.643116,3.863054e-05,50.77537,50.786144,50.834106,50.823326,19.630215,19.679995,19.656023,19.606197
50.815483,19.6929,3.153497e-05,50.786144,50.796856,50.844826,50.834106,19.679995,19.729736,19.705814,19.656023
50.826168,19.74265,4.5797842e-05,50.796856,50.80751,50.855488,50.844826,19.729736,19.779446,19.755571,19.705814
50.836796,19.792366,4.325955e-05,50.80751,50.818104,50.866093,50.855488,19.779446,19.829123,19.805296,19.755571
50.847366,19.842052,2.4098723e-05,50.818104,50.82864,50.876637,50.866093,19.829123,19.87877,19.854992,19.805296
50.85788,19.89171,3.3037217e-05,50.82864,50.839123,50.887123,50.876637,19.87877,19.928392,19.90466,19.854992
50.868332,19.941343,3.8845636e-05,50.839123,50.849545,50.897552,50.887123,19.928392,19.977987,19.954304,19.90466
50.87873,19.99095,4.033963e-05,50.849545,50.859913,50.90793,50.897552,19.977987,20.027561,20.003923,19.954304
50.889076,20.040537,1.0206309e-05,50.859913,50.870224,50.918247,50.90793,20.027561,20.077114,20.053524,20.003923
50.899364,20.090103,5.483112e-05,50.870224,50.880478,50.928513,50.918247,20.077114,20.126648,20.103107,20.053524
50.909595,20.139654,5.8636895e-05,50.880478,50.890682,50.93872,50.928513,20.126648,20.176167,20.152672,20.103107
50.919777,20.189188,4.2066506e-05,50.890682,50.900833,50.94888,50.93872,20.176167,20.22567,20.202225,20.152672
50.9299,20.23871,2.9690565e-05,50.900833,50.910927,50.95898,50.94888,20.22567,20.275164,20.251766,20.202225
50.939976,20.288223,2.174388e-05,50.910927,50.92097,50.969032,50.95898,20.275164,20.324646,20.301296,20.251766
50.949997,20.337725,3.7876718e-05,50.92097,50.93096,50.97903,50.969032,20.324646,20.374123,20.35082,20.301296
50.95997,20.387222,3.4682012e-05,50.93096,50.940903,50.98898,50.97903,20.374123,20.423594,20.40034,20.35082
50.969887,20.436716,4.9163413e-05,50.940903,50.950794,50.998875,50.98898,20.423594,20.47306,20.449856,20.40034
50.80911,19.419386,4.4348395e-05,50.77959,50.790615,50.83861,50.827576,19.406485,19.456478,19.432287,19.382246
50.820107,19.469381,3.894785e-05,50.790615,50.801582,50.849583,50.83861,19.456478,19.506428,19.482285,19.432287
50.831043,19.519331,3.6858957e-05,50.801582,50.812485,50.860493,50.849583,19.506428,19.556334,19.532238,19.482285
50.84192,19.56924,1.8764214e-05,50.812485,50.823326,50.87134,50.860493,19.556334,19.606197,19.58215,19.532238
50.852734,19.61911,3.56061e-05,50.823326,50.834106,50.88213,50.87134,19.606197,19.656025,19.632025,19.58215
50.863487,19.668941,5.669427e-05,50.834106,50.844826,50.892857,50.88213,19.656025,19.705814,19.681862,19.632025
50.874184,19.718739,2.8349974e-05,50.844826,50.855488,50.903526,50.892857,19.705814,19.755571,19.731667,19.681862
50.88482,19.768503,4.2282605e-05,50.855488,50.86609,50.914135,50.903526,19.755571,19.805298,19.78144,19.731667
50.895397,19.818237,2.3006003e-05,50.86609,50.876633,50.92469,50.914135,19.805298,19.854992,19.831182,19.78144
50.905914,19.867943,3.588229e-05,50.876633,50.88712,50.935184,50.92469,19.854992,19.904661,19.8809,19.831182
50.916378,19.917622,4.0103387e-05,50.88712,50.897552,50.94562,50.935184,19.904661,19.954304,19.930592,19.8809
50.926785,19.967278,3.6940015e-05,50.897552,50.907925,50.956005,50.94562,19.954304,20.003925,19.980259,19.930592
50.937134,20.016912,3.722518e-05,50.907925,50.918243,50.96633,50.956005,20.003925,20.053526,20.029907,19.980259
50.94743,20.066528,3.225571e-05,50.918243,50.92851,50.9766,50.96633,20.053526,20.103107,20.079538,20.029907
50.957672,20.116125,5.5029293e-05,50.92851,50.93872,50.98682,50.9766,20.103107,20.152674,20.129152,20.079538
50.967857,20.165709,4.20201e-05,50.93872,50.948875,50.996983,50.98682,20.152674,20.202227,20.178753,20.129152
50.977993,20.215279,3.9865925e-05,50.948875,50.95898,51.007095,50.996983,20.202227,20.251766,20.22834,20.178753
50.98807,20.264837,3.160396e-05,50.95898,50.969032,51.01715,51.007095,20.251766,20.301298,20.27792,20.22834
50.9981,20.31439,4.941628e-05,50.969032,50.97903,51.027157,51.01715,20.301298,20.350822,20.327492,20.27792
51.008076,20.363935,2.695754e-05,50.97903,50.988976,51.037113,51.027157,20.350822,20.400341,20.37706,20.327492
51.018,20.413475,3.701339e-05,50.988976,50.998875,51.047016,51.037113,20.400341,20.449856,20.426624,20.37706
51.027878,20.463017,3.7239548e-05,50.998875,51.00872,51.05687,51.047016,20.449856,20.499372,20.476189,20.426624
50.801075,19.14419,3.5521916e-05,50.77143,50.78279,50.830708,50.819336,19.131279,19.181581,19.1571,19.10675
50.81241,19.194489,1.966109e-05,50.78279,50.794086,50.842007,50.830708,19.181581,19.231827,19.207394,19.1571
50.823673,19.24473,4.1625863e-05,50.794086,50.805313,50.853245,50.842007,19.231827,19.282019,19.257633,19.207394
50.834873,19.294918,2.9943847e-05,50.805313,50.816475,50.864414,50.853245,19.282019,19.332157,19.30782,19.257633
50.846004,19.345057,1.985631e-05,50.816475,50.827576,50.875523,50.864414,19.332157,19.382246,19.357956,19.30782
50.85708,19.395145,2.5621259e-05,50.827576,50.83861,50.886566,50.875523,19.382246,19.432287,19.408045,19.357956
50.868084,19.445187,1.8918767e-05,50.83861,50.849583,50.897545,50.886566,19.432287,19.482285,19.45809,19.408045
50.87903,19.495186,3.0280335e-05,50.849583,50.860493,50.908463,50.897545,19.482285,19.532238,19.50809,19.45809
50.88991,19.545143,1.3861508e-05,50.860493,50.87134,50.91932,50.908463,19.532238,19.58215,19.55805,19.50809
50.900734,19.59506,1.9066407e-05,50.87134,50.88213,50.930115,50.91932,19.58215,19.632025,19.607973,19.55805
50.9115,19.64494,3.992783e-05,50.88213,50.892857,50.940853,50.930115,19.632025,19.681862,19.657858,19.607973
50.9222,19.694784,3.9757284e-05,50.892857,50.903526,50.95153,50.940853,19.681862,19.731667,19.70771,19.657858
50.932842,19.744596,2.6476548e-05,50.903526,50.914135,50.962147,50.95153,19.731667,19.78144,19.75753,19.70771
50.943428,19.794378,3.2058244e-05,50.914135,50.92469,50.972706,50.962147,19.78144,19.831182,19.807322,19.75753
50.953957,19.844131,5.198753e-05,50.92469,50.935184,50.983208,50.972706,19.831182,19.8809,19.857086,19.807322
