lon,lat
19.137402,51.254871
19.350628,51.244186
18.805189,51.330692
18.820162,51.361401
18.822933,51.301105
18.830482,51.316219
18.8531,51.362156
18.848143,51.286503
18.855747,51.301826
18.863319,51.316933
18.870968,51.332211
18.878506,51.347485
18.886028,51.362839
18.888746,51.302574
18.903959,51.333
18.911495,51.348289
18.919052,51.363651
18.906204,51.272526
18.914019,51.28804
18.921694,51.303349
18.929321,51.318451
18.936968,51.333748
18.94455,51.349022
18.952087,51.364384
18.939108,51.273251
18.94693,51.288761
18.95462,51.30407
18.962261,51.319172
18.969898,51.33448
18.977434,51.349777
18.984995,51.365143
18.972111,51.274021
18.979959,51.289532
18.9877,51.304829
18.995329,51.319939
19.002956,51.335243
19.010527,51.350521
19.018095,51.365875
19.004986,51.274723
19.028227,51.320572
19.035866,51.335861
19.05105,51.366474
19.037998,51.275337
19.04586,51.290836
19.061232,51.32122
19.068886,51.336517
19.070856,51.275921
19.078741,51.291397
19.086464,51.306679
19.09413,51.321766
19.101839,51.337059
19.109426,51.352348
19.128809,51.262062
19.144636,51.292919
19.167715,51.338627
19.169579,51.278187
19.177477,51.293694
19.200579,51.339413
19.194597,51.263546
19.210453,51.294411
19.218189,51.309734
19.225904,51.324837
19.233616,51.340149
19.227516,51.264339
19.251163,51.310474
19.260324,51.26503
19.291731,51.32616
19.293325,51.265568
19.301304,51.280895
19.326164,51.266186
18.83387,51.378109
18.866829,51.378834
18.861038,51.394295
18.899744,51.379524
18.893967,51.394989
18.888077,51.410603
18.932709,51.380219
18.965826,51.380951
18.960045,51.396416
18.95414,51.412033
18.998804,51.381668
18.992979,51.397133
19.031849,51.38242
19.026129,51.397896
19.064875,51.383091
