lon,lat
19.262478,51.311428
19.281843,51.280968
19.288658,51.296604
19.295403,51.312336
19.307831,51.26622
19.31476,51.281868
19.328297,51.313244
19.333805,51.251663
19.340721,51.267117
19.354441,51.298409
19.3613,51.314114
19.366693,51.252552
19.380491,51.283669
19.387335,51.299297
19.394175,51.315006
19.406515,51.268875
19.413382,51.284546
19.420259,51.300167
19.427013,51.315903
19.446297,51.285404
19.453127,51.301044
19.459997,51.316746
19.479139,51.286278
19.492937,51.317589
19.267189,51.325623
19.262993,51.340729
19.258638,51.355957
19.287376,51.371887
19.278786,51.401714
19.333107,51.32737
19.32897,51.342495
19.31616,51.387585
19.307426,51.417568
19.366011,51.328209
19.361904,51.343342
19.357595,51.358578
19.353329,51.373611
19.349106,51.388428
19.344795,51.403446
19.340416,51.418423
19.335924,51.433456
19.399002,51.329071
19.394831,51.344173
19.390566,51.359425
19.386311,51.374458
19.382126,51.389286
19.377804,51.404301
19.373444,51.419277
19.36898,51.434319
19.431969,51.32991
19.427824,51.34502
19.423567,51.360271
19.419294,51.375294
19.415161,51.390141
19.410839,51.405148
19.406483,51.420124
19.401974,51.435146
19.464952,51.33075
19.456568,51.361111
19.452328,51.376141
19.448156,51.390968
19.443886,51.405994
19.439478,51.420948
19.497852,51.331539
19.493731,51.346653
19.489468,51.361897
19.485262,51.376938
19.481152,51.391785
19.476851,51.406799
19.472466,51.421761
19.468018,51.436798
19.530783,51.332333
19.526682,51.347454
19.518265,51.377754
19.514124,51.392586
19.509819,51.407593
19.505486,51.422569
19.501055,51.437611
19.563725,51.333122
19.559641,51.348248
19.555485,51.363525
19.551205,51.378532
19.547089,51.393372
19.542833,51.408394
19.538506,51.42337
19.534092,51.438416
19.592642,51.349045
19.588428,51.364296
19.584223,51.37933
19.58013,51.394173
19.575846,51.409184
19.571564,51.424171
19.567144,51.439213
19.621408,51.36507
19.617237,51.380112
19.613125,51.394947
19.608864,51.409962
19.600197,51.439999
19.650206,51.380871
19.646116,51.39571
19.641872,51.410728
19.637577,51.425709
19.633198,51.440758
19.679111,51.396465
19.674862,51.41148
19.670603,51.426468
19.66621,51.441509
19.7036,51.427208
19.699236,51.442257
19.322758,51.430943
19.355803,51.431782
19.388868,51.43261
19.421833,51.433418
19.409927,51.448128
19.454821,51.434216
19.442947,51.448933
19.487831,51.435009
19.476088,51.449745
19.464027,51.464607
19.520861,51.435791
19.509108,51.450527
19.49712,51.465405
19.55393,51.436569
19.542191,51.451309
19.530113,51.466175
19.587065,51.437347
19.575356,51.452091
19.56333,51.466969
19.620018,51.438087
19.60828,51.452835
19.596346,51.467724
19.58444,51.482407
19.652994,51.438824
19.641245,51.453571
19.629301,51.46846
19.617468,51.483154
19.68597,51.439548
19.674252,51.4543
19.662277,51.469193
19.650496,51.483894
