lon,lat
19.211033,51.330982
19.198769,51.34621
19.243975,51.331165
19.231569,51.346378
19.219116,51.361572
19.25209,51.36174
19.23941,51.377014
19.355017,51.316727
19.343042,51.331776
19.330679,51.347008
19.318249,51.362213
19.305613,51.377506
19.338531,51.377777
19.185497,51.395737
19.245245,51.380531
19.21916,51.395653
19.166069,51.426056
19.139841,51.44104
19.252104,51.395935
19.172642,51.441498
19.118771,51.472054
19.31167,51.381348
19.258814,51.411804
19.232084,51.426937
19.205896,51.441959
19.178953,51.457184
19.151798,51.472412
19.124283,51.487766
19.29183,51.412117
19.23867,51.442204
19.211769,51.457405
19.184652,51.47261
19.298256,51.427193
19.244978,51.457371
19.190212,51.487938
19.278084,51.457535
19.283852,51.473141
19.256367,51.488514
