latitude,longitude,no2,lat1,lat2,lat3,lat4,lon1,lon2,lon3,lon4
50.803158,20.203527,2.4508901e-05,50.776894,50.780586,50.82941,50.825714,20.16861,20.252058,20.238663,20.155127
50.80682,20.28737,1.129603e-05,50.780586,50.78421,50.833035,50.82941,20.252058,20.336212,20.322905,20.238663
50.810406,20.371927,1.8832348e-05,50.78421,50.78776,50.836586,50.833035,20.336212,20.421083,20.407867,20.322905
50.813923,20.457209,3.2071468e-05,50.78776,50.79124,50.840065,50.836586,20.421083,20.50669,20.493563,20.407867
50.80302,19.233856,2.8032055e-05,50.776386,50.780827,50.829636,50.8252,19.20313,19.279163,19.264755,19.188643
50.80743,19.31021,2.2529062e-05,50.780827,50.785206,50.83402,50.829636,19.279163,19.35576,19.341433,19.264755
50.811783,19.387133,2.3002154e-05,50.785206,50.78953,50.838345,50.83402,19.35576,19.43293,19.418684,19.341433
50.816082,19.464634,2.2712153e-05,50.78953,50.7938,50.842613,50.838345,19.43293,19.510685,19.496521,19.418684
50.82032,19.542727,3.17741e-05,50.7938,50.798008,50.846825,50.842613,19.510685,19.589035,19.574953,19.496521
50.824497,19.62142,2.0639976e-05,50.798008,50.802155,50.85097,50.846825,19.589035,19.667992,19.653994,19.574953
50.828613,19.700726,1.3742947e-05,50.802155,50.80624,50.85506,50.85097,19.667992,19.747566,19.733652,19.653994
50.832672,19.780655,2.1094615e-05,50.80624,50.810265,50.859085,50.85506,19.747566,19.82777,19.813942,19.733652
50.836662,19.861221,1.7323e-05,50.810265,50.814228,50.863045,50.859085,19.82777,19.908617,19.894873,19.813942
50.84059,19.942436,9.350168e-06,50.814228,50.818123,50.866943,50.863045,19.908617,19.990116,19.976458,19.894873
50.844456,20.02431,2.2151939e-05,50.818123,50.821953,50.870773,50.866943,19.990116,20.07228,20.05871,19.976458
50.848255,20.106857,1.8437748e-05,50.821953,50.825714,50.87454,50.870773,20.07228,20.155127,20.141644,20.05871
50.851982,20.19009,1.934529e-05,50.825714,50.82941,50.87823,50.87454,20.155127,20.238663,20.22527,20.141644
50.85564,20.274023,2.9641058e-05,50.82941,50.833035,50.881855,50.87823,20.238663,20.322905,20.3096,20.22527
50.85923,20.358667,2.671846e-05,50.833035,50.836586,50.88541,50.881855,20.322905,20.407867,20.394651,20.3096
50.862747,20.444038,2.6391295e-05,50.836586,50.840065,50.88889,50.88541,20.407867,20.493563,20.480438,20.394651
50.8048,18.484234,1.5303767e-05,50.777912,50.782867,50.831676,50.82672,18.45642,18.527414,18.512197,18.44113
50.80973,18.555502,2.594213e-05,50.782867,50.78777,50.836582,50.831676,18.527414,18.59888,18.58374,18.512197
50.814613,18.627245,1.9768633e-05,50.78777,50.792625,50.841442,50.836582,18.59888,18.670828,18.655762,18.58374
50.819443,18.699472,2.807095e-05,50.792625,50.797432,50.84625,50.841442,18.670828,18.743263,18.728273,18.655762
50.824226,18.772194,3.076664e-05,50.797432,50.80219,50.85101,50.84625,18.743263,18.816196,18.801283,18.728273
50.82896,18.845417,2.4950203e-05,50.80219,50.806896,50.855717,50.85101,18.816196,18.889635,18.8748,18.801283
50.83364,18.919151,2.8978986e-05,50.806896,50.81155,50.860374,50.855717,18.889635,18.96359,18.948833,18.8748
50.83827,18.993408,2.6763446e-05,50.81155,50.81615,50.86498,50.860374,18.96359,19.03807,19.023392,18.948833
50.842846,19.068193,2.2200504e-05,50.81615,50.8207,50.869526,50.86498,19.03807,19.113085,19.098484,19.023392
50.84737,19.143518,4.8731952e-05,50.8207,50.825195,50.874023,50.869526,19.113085,19.188643,19.174124,19.098484
50.851837,19.219393,4.2846255e-05,50.825195,50.829636,50.878464,50.874023,19.188643,19.264755,19.250317,19.174124
50.856247,19.295826,5.3529066e-06,50.829636,50.83402,50.882847,50.878464,19.264755,19.341433,19.327074,19.250317
50.860603,19.37283,3.5986315e-05,50.83402,50.838345,50.887177,50.882847,19.341433,19.418684,19.404408,19.327074
50.864902,19.450413,-1.7950847e-06,50.838345,50.842613,50.891445,50.887177,19.418684,19.496521,19.482327,19.404408
50.86914,19.528587,6.045663e-06,50.842613,50.84682,50.895657,50.891445,19.496521,19.574955,19.560843,19.482327
50.87332,19.607365,1.5612097e-05,50.84682,50.85097,50.899807,50.895657,19.574955,19.653994,19.639965,19.560843
50.877438,19.686754,1.8208493e-05,50.85097,50.855057,50.903893,50.899807,19.653994,19.733654,19.71971,19.639965
50.881496,19.76677,1.992543e-05,50.855057,50.85908,50.90792,50.903893,19.733654,19.813942,19.800083,19.71971
50.88549,19.84742,1.0086065e-05,50.85908,50.863045,50.911884,50.90792,19.813942,19.894873,19.8811,19.800083
50.88942,19.92872,1.6738475e-05,50.863045,50.86694,50.91578,50.911884,19.894873,19.97646,19.96277,19.8811
50.893284,20.010681,2.329808e-05,50.86694,50.870773,50.919613,50.91578,19.97646,20.058712,20.04511,19.96277
50.897083,20.093315,2.8388658e-05,50.870773,50.874535,50.923374,50.919613,20.058712,20.141644,20.128132,20.04511
50.90081,20.176638,1.5019417e-05,50.874535,50.87823,50.92707,50.923374,20.141644,20.22527,20.211845,20.128132
50.904472,20.260658,2.4081872e-05,50.87823,50.881855,50.930695,50.92707,20.22527,20.3096,20.296267,20.211845
50.908062,20.345392,2.0144087e-05,50.881855,50.885406,50.93425,50.930695,20.3096,20.394653,20.381409,20.296267
50.911575,20.430855,3.6113724e-05,50.885406,50.888885,50.93773,50.93425,20.394653,20.480438,20.467285,20.381409
50.82304,18.050484,9.868132e-06,50.796024,50.80125,50.850048,50.84482,18.024189,18.09259,18.076916,18.008444
50.828247,18.119133,2.4241557e-05,50.80125,50.806435,50.855236,50.850048,18.09259,18.161417,18.145815,18.076916
50.833412,18.188211,9.436095e-06,50.806435,50.811577,50.86038,50.855236,18.161417,18.230677,18.215147,18.145815
50.83853,18.257727,1.8218503e-05,50.811577,50.81667,50.865475,50.86038,18.230677,18.300377,18.28492,18.215147
50.843605,18.327686,1.6593278e-05,50.81667,50.82172,50.870525,50.865475,18.300377,18.370525,18.355143,18.28492
50.84863,18.398098,1.0315347e-05,50.82172,50.82672,50.87553,50.870525,18.370525,18.44113,18.425821,18.355143
50.85361,18.468971,2.6299667e-05,50.82672,50.831676,50.88049,50.87553,18.44113,18.512197,18.496965,18.425821
50.858543,18.540314,3.5765694e-05,50.831676,50.836582,50.8854,50.88049,18.512197,18.58374,18.56858,18.496965
50.863426,18.612131,2.01346e-05,50.836582,50.841442,50.89026,50.8854,18.58374,18.655762,18.640678,18.56858
50.86826,18.684435,1.977626e-05,50.841442,50.84625,50.89507,50.89026,18.655762,18.728273,18.713266,18.640678
50.873047,18.757233,1.625721e-05,50.84625,50.85101,50.89983,50.89507,18.728273,18.801283,18.786354,18.713266
50.87778,18.830534,2.1396156e-05,50.85101,50.855717,50.90454,50.89983,18.801283,18.8748,18.85995,18.786354
50.88246,18.904346,4.430107e-05,50.855717,50.860374,50.9092,50.90454,18.8748,18.948833,18.93406,18.85995
50.887093,18.97868,2.0309888e-05,50.860374,50.864975,50.913803,50.9092,18.948833,19.023392,19.008698,18.93406
50.89167,19.053545,3.6177964e-05,50.864975,50.869526,50.918358,50.913803,19.023392,19.098484,19.08387,19.008698
50.896194,19.12895,4.552457e-05,50.869526,50.874023,50.922855,50.918358,19.098484,19.174124,19.159588,19.08387
50.900665,19.204905,3.4316137e-05,50.874023,50.878464,50.927296,50.922855,19.174124,19.250317,19.23586,19.159588
50.90508,19.281418,2.8012762e-05,50.878464,50.882847,50.931683,50.927296,19.250317,19.327074,19.3127,19.23586
50.909435,19.358503,1.8846724e-05,50.882847,50.887177,50.936012,50.931683,19.327074,19.404408,19.390116,19.3127
50.913734,19.436169,1.7394152e-05,50.887177,50.891445,50.94028,50.936012,19.404408,19.482327,19.468117,19.390116
50.917976,19.514425,1.9374142e-05,50.891445,50.895657,50.944492,50.94028,19.482327,19.560843,19.546715,19.468117
50.922157,19.593287,2.5961457e-05,50.895657,50.899807,50.948647,50.944492,19.560843,19.639965,19.625923,19.546715
50.926277,19.67276,2.135187e-05,50.899807,50.903893,50.952736,50.948647,19.639965,19.71971,19.70575,19.625923
50.930336,19.75286,2.1745982e-05,50.903893,50.90792,50.956764,50.952736,19.71971,19.800083,19.78621,19.70575
50.93433,19.833595,1.6496686e-05,50.90792,50.911884,50.960728,50.956764,19.800083,19.8811,19.867311,19.78621
50.93826,19.914982,1.1950944e-05,50.911884,50.91578,50.964626,50.960728,19.8811,19.962772,19.949072,19.867311
50.942127,19.99703,2.0163798e-05,50.91578,50.919613,50.968456,50.964626,19.962772,20.04511,20.031498,19.949072
50.945923,20.079752,1.9631423e-05,50.919613,50.923374,50.97222,50.968456,20.04511,20.128132,20.114607,20.031498
50.949654,20.163162,3.0538526e-05,50.923374,50.92707,50.975918,50.97222,20.128132,20.211845,20.198408,20.114607
50.953316,20.247272,1.9129298e-05,50.92707,50.930695,50.97954,50.975918,20.211845,20.296267,20.282919,20.198408
50.956905,20.332096,2.7061988e-05,50.930695,50.93425,50.983097,50.97954,20.296267,20.381409,20.368153,20.282919
50.96042,20.41765,1.688885e-05,50.93425,50.93773,50.986576,50.983097,20.381409,20.467285,20.45412,20.368153
50.87183,18.034763,2.312137e-05,50.844814,50.850048,50.898808,50.893574,18.008444,18.076916,18.061218,17.992674
50.87704,18.103485,2.5511796e-05,50.850048,50.855232,50.904,50.898808,18.076916,18.145815,18.13019,18.061218
50.882206,18.172636,2.4987636e-05,50.855232,50.860374,50.90914,50.904,18.145815,18.215147,18.199594,18.13019
50.887325,18.242224,1.5110455e-05,50.860374,50.865475,50.91424,50.90914,18.215147,18.28492,18.269442,18.199594
50.892403,18.312258,1.2522153e-05,50.865475,50.870525,50.919296,50.91424,18.28492,18.355143,18.339737,18.269442
50.89743,18.382744,2.31842e-05,50.870525,50.87553,50.9243,50.919296,18.355143,18.425821,18.41049,18.339737
50.902412,18.453691,2.5539066e-05,50.87553,50.880486,50.92926,50.9243,18.425821,18.496965,18.481709,18.41049
50.90735,18.525108,1.9371426e-05,50.880486,50.885395,50.934174,50.92926,18.496965,18.568583,18.5534,18.481709
50.912235,18.597002,1.9542042e-05,50.885395,50.890255,50.939037,50.934174,18.568583,18.64068,18.625574,18.5534
50.917072,18.669382,1.6819225e-05,50.890255,50.89507,50.943848,50.939037,18.64068,18.713268,18.698238,18.625574
50.92186,18.742256,2.7801412e-05,50.89507,50.89983,50.948612,50.943848,18.713268,18.786354,18.771402,18.698238
50.926594,18.815636,1.7503897e-05,50.89983,50.904537,50.953323,50.948612,18.786354,18.85995,18.845076,18.771402
50.931282,18.889526,2.9322679e-05,50.904537,50.909195,50.957985,50.953323,18.85995,18.93406,18.919264,18.845076
50.935913,18.963938,3.8317376e-05,50.909195,50.913803,50.962593,50.957985,18.93406,19.008698,18.99398,18.919264
50.940495,19.038881,3.8377286e-05,50.913803,50.918354,50.967144,50.962593,19.008698,19.08387,19.069233,18.99398
50.94502,19.114365,4.1859978e-05,50.918354,50.92285,50.971645,50.967144,19.08387,19.159588,19.145031,19.069233
50.94949,19.190401,3.6832942e-05,50.92285,50.927296,50.97609,50.971645,19.159588,19.23586,19.221386,19.145031
50.953907,19.266996,4.268814e-05,50.927296,50.93168,50.980476,50.97609,19.23586,19.3127,19.298306,19.221386
50.958263,19.344162,4.401873e-05,50.93168,50.93601,50.984806,50.980476,19.3127,19.390116,19.375803,19.298306
50.962566,19.42191,1.977458e-05,50.93601,50.94028,50.98908,50.984806,19.390116,19.468117,19.453886,19.375803
50.96681,19.50025,1.7546876e-05,50.94028,50.944492,50.993294,50.98908,19.468117,19.546717,19.532568,19.453886
50.97099,19.579193,2.6678994e-05,50.944492,50.948643,50.997444,50.993294,19.546717,19.625923,19.61186,19.532568
50.975113,19.658752,1.8810606e-05,50.948643,50.952732,51.001537,50.997444,19.625923,19.705751,19.691772,19.61186
50.97917,19.738937,1.9086036e-05,50.952732,50.95676,51.005566,51.001537,19.705751,19.786211,19.772316,19.691772
50.983166,19.81976,2.1922695e-05,50.95676,50.960724,51.00953,51.005566,19.786211,19.867313,19.853506,19.772316
50.9871,19.901232,2.5036597e-05,50.960724,50.964622,51.013428,51.00953,19.867313,19.949072,19.93535,19.853506
50.990963,19.983366,2.7393871e-05,50.964622,50.968456,51.01726,51.013428,19.949072,20.031498,20.017864,19.93535
50.994762,20.066175,1.7264492e-05,50.968456,50.97222,51.021027,51.01726,20.031498,20.114607,20.10106,20.017864
50.998493,20.149673,1.8765933e-05,50.97222,50.975914,51.024723,51.021027,20.114607,20.19841,20.184954,20.10106
