"lon","lat","ff.xco2","time","obs","uncert","qf","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","obs_enhance","uncert_bg","ver_0.8","ver_0.9","ver_1.1","ver_1.2","wind_ff.xco2","uncert_ver","uncert_ver_percent","uncert_wind","uncert_wind_percent","uncert_trans","uncert_trans_percent","uncert_total","uncert_total_percent"
19.135933,51.258461,0,"2020-04-10 13:36:00",415.159698,0.606171,0,51.252853,51.250153,51.264057,51.266769,19.11319,19.145721,19.158661,19.126099,-0.460302000000013,0.83,0,2.76082627067421e-09,0,3.07735310436119e-08,2.85780457082542e-07,1.3506681221645e-08,Inf,2.02077299133657e-07,Inf,2.02528183872706e-07,Inf,1.02778562027353,Inf
19.137491,51.21104,0,"2020-04-10 13:35:44",416.031769,0.498443,0,51.205643,51.203114,51.216476,51.218994,19.110962,19.143555,19.163971,19.131348,0.411768999999993,0.83,0,0,1.98801015326485e-07,6.81095461447994e-10,9.01566664301151e-08,8.88308576466915e-08,Inf,6.3750390201908e-08,Inf,1.09339075911324e-07,Inf,0.968166010686706,Inf
19.140898,51.226562,0,"2020-04-10 13:36:00",417.942413,0.494644,0,51.220856,51.21814,51.232273,51.234982,19.118011,19.150604,19.163696,19.131165,2.32241299999998,0.83,0,0,1.93119885002823e-09,8.38761126308813e-10,2.90875390502737e-08,8.5125107507353e-10,Inf,2.0567996110477e-08,Inf,2.0585604008467e-08,Inf,0.966215652293007,Inf
19.144045,51.304596,0,"2020-04-10 13:36:00",414.635651,0.623855,0,51.29863,51.295918,51.310558,51.313263,19.120972,19.153595,19.167114,19.134521,-0.984349000000009,0.83,0,0,0,1.44091123668619e-07,3.43936104488247e-09,6.44395094954722e-08,Inf,2.43199551778524e-09,Inf,6.44853858344321e-08,Inf,1.03831356584849,Inf
19.148634,51.194317,0,"2020-04-10 13:35:45",415.374634,0.531748,0,51.18845,51.185863,51.200119,51.202728,19.121613,19.154053,19.175446,19.143005,-0.24536599999999,0.83,0,0,4.02324431966741e-07,0,5.74968496950784e-07,1.79924955777324e-07,Inf,4.06564123162536e-07,Inf,4.44597993646388e-07,Inf,0.98572609557838,Inf
19.14958,51.27298,0,"2020-04-10 13:36:00",414.975006,0.587346,0,51.267262,51.264553,51.278698,51.281418,19.126709,19.159271,19.172424,19.139771,-0.644993999999997,0.83,5.05371396753508e-11,0,3.10370097428854e-12,8.17613077329971e-08,2.66108345702899e-09,3.65587774816924e-08,Inf,1.88167015776854e-09,Inf,3.66071699744536e-08,Inf,1.0167965989892,Inf
19.157652,51.319149,0,"2020-04-10 13:36:00",414.552063,0.65864,0,51.313656,51.310947,51.324657,51.327362,19.134918,19.167511,19.180267,19.147705,-1.06793700000003,0.83,0,0,0,0,4.94525625763418e-10,0,NA,3.49682423447834e-10,Inf,3.49682423447834e-10,Inf,1.05957852450868,Inf
19.159079,51.22538,0,"2020-04-10 13:35:44",416.384857,0.656158,0,51.21983,51.217312,51.230968,51.233456,19.132446,19.1651,19.185547,19.153076,0.764857000000006,0.83,0,1.41482185692194e-07,1.93107052181903e-07,0,1.86099423118029e-06,9.34311923963176e-08,Inf,1.31592164061663e-06,Inf,1.31923430517697e-06,Inf,1.05803748561464,Inf
19.159266,51.177525,1e-06,"2020-04-10 13:35:45",415.386292,0.493282,0,51.172291,51.169544,51.18256,51.185364,19.133331,19.165497,19.185547,19.153259,-0.233707999999979,0.83,0,0,5.61252877559815e-09,2.11808280902044e-08,2.77599426704086e-06,4.44302601955327e-07,0.444302601955327,1.25581758957302e-06,1.25581758957302,1.33209707618674e-06,1.33209707618674,0.965519099513715,965519.099513715
19.163128,51.287312,0,"2020-04-10 13:36:00",414.664612,0.590207,0,51.281952,51.279236,51.292683,51.295399,19.140442,19.173065,19.185669,19.153107,-0.955388000000028,0.83,0,0,0,3.18302710814893e-09,1.51644364111206e-06,1.42349299760912e-09,Inf,1.07228758191756e-06,Inf,1.07228852678135e-06,Inf,1.01845191484436,Inf
19.170191,51.208496,1e-06,"2020-04-10 13:35:45",415.590363,0.565784,0,51.203114,51.200504,51.213833,51.216473,19.143616,19.176056,19.196564,19.164032,-0.0296369999999797,0.83,0,7.39812155783972e-10,5.2838294595364e-07,1.93554296660401e-06,2.53476059341724e-06,8.10051532877093e-07,0.810051532877093,1.08523962310322e-06,1.08523962310322,1.35422617219937e-06,1.35422617219937,1.00449566184122,1004495.66184122
19.170673,51.160656,0,"2020-04-10 13:35:45",414.979462,0.627553,0,51.155293,51.152424,51.16618,51.169037,19.144104,19.176636,19.197266,19.164612,-0.640537999999992,0.83,2.16931597346888e-09,0,5.67646077488899e-10,6.94673777676149e-09,1.36619111328176e-06,2.93813338407427e-09,Inf,9.66043000598331e-07,Inf,9.6604746862295e-07,Inf,1.04053965220453,Inf
19.17351,51.223839,2e-06,"2020-04-10 13:36:01",416.665436,0.540766,0,51.21814,51.215424,51.229565,51.232269,19.150665,19.183167,19.196198,19.163757,1.045436,0.83,0,0,2.87449975020375e-07,0,2.45349696721107e-06,8.71226435907318e-07,0.435613217953659,3.20670780762481e-07,0.160335390381241,9.28366981456464e-07,0.464183490728232,0.990619940621458,495309.970310729
19.17676,51.301868,3.3e-05,"2020-04-10 13:36:00",415.179413,0.607613,0,51.295914,51.293198,51.307842,51.310547,19.153656,19.186218,19.199707,19.167175,-0.440586999999994,0.83,2.87313181866762e-05,3.21130352795605e-05,3.47104959843674e-05,3.19782120317204e-05,3.86803008830706e-05,2.17873185931777e-06,0.0660221775550839,4.01657927359915e-06,0.121714523442399,4.56943996304936e-06,0.138467877668162,1.02863674724845,31170.8105226804
19.181023,51.191643,0.000306,"2020-04-10 13:35:45",414.83194,0.542343,0,51.185863,51.183048,51.197247,51.200115,19.154114,19.186432,19.208008,19.175537,-0.78806000000003,0.83,0.000287707092783092,0.000295292814099463,0.000309508108625344,0.00032188893629649,0.000346695098355363,1.3187074165511e-05,0.043095013612781,2.87757800081307e-05,0.0940384967585971,3.16535059688974e-05,0.103442829963717,0.991481684475787,3240.13622377708
19.181932,51.14386,0.000285,"2020-04-10 13:35:45",415.261627,0.500417,0,51.13847,51.13583,51.149334,51.151962,19.155487,19.187988,19.208313,19.175812,-0.358373000000029,0.83,0.000278084561840135,0.000279526876279544,0.000295596241216881,0.000303778547600624,0.000318494990270814,1.10112007179651e-05,0.0386357919928601,2.368453475627e-05,0.0831036307237544,2.61190299948577e-05,0.0916457192802025,0.969183767183089,3400.64479713365
19.182196,51.27026,0.000424,"2020-04-10 13:36:00",414.923126,0.529034,0,51.264545,51.261829,51.27597,51.27869,19.159332,19.191895,19.205048,19.172485,-0.69687399999998,0.83,0.000391675584372895,0.000406658140486216,0.000425541814848166,0.000430994062854441,0.000455597673379676,1.62677604987698e-05,0.0383673596669099,2.23429291164865e-05,0.0526955875388833,2.763777330303e-05,0.0651834276014858,0.984264686921077,2321.37897858745
19.187262,51.238346,0.000568,"2020-04-10 13:36:01",416.815918,0.495959,0,51.232639,51.229931,51.244061,51.246784,19.164459,19.19693,19.210052,19.17749,1.19591800000001,0.83,0.000535974767681987,0.000552796699436194,0.000564620691096067,0.000601502913524709,0.000641134385977936,2.41459369367052e-05,0.0425104523533541,5.17138202629129e-05,0.0910454582093537,5.7073158986832e-05,0.100480913709211,0.966889514338813,1702.27027172326
19.190821,51.34864,0.000341,"2020-04-10 13:36:18",414.198608,0.623829,0,51.342789,51.340046,51.354496,51.357239,19.171387,19.20401,19.210175,19.177551,-1.42139200000003,0.83,0.000313653462733102,0.000339305479510111,0.000339771466873569,0.00035136821637409,0.000368309511126199,1.39687218736421e-05,0.0409639937643463,1.93107405082248e-05,0.0566297375607765,2.38333776405939e-05,0.069892603051595,1.03829794462333,3044.86200769305
19.191685,51.222828,0.00061,"2020-04-10 13:35:45",414.617004,0.7033,0,51.217304,51.214664,51.228302,51.230961,19.165161,19.197662,19.21817,19.185608,-1.002996,0.83,0.000587322791476095,0.000609557768426898,0.000630764980529894,0.000637637481175466,0.00065266000543674,1.98847925624228e-05,0.0325980205941358,3.01651791297739e-05,0.0494511133274982,3.61295309571261e-05,0.0592287392739772,1.08790205961076,1783.44599936191
19.191856,51.174576,0.000575,"2020-04-10 13:35:45",414.556793,0.526905,0,51.16954,51.166683,51.179749,51.182556,19.165558,19.198212,19.21814,19.185638,-1.06320699999998,0.83,0.000559617784592809,0.000573396801884895,0.000588184043901269,0.000601773865109379,0.00062963740031116,1.60023010198755e-05,0.0278300887302183,3.86344762664252e-05,0.0671903935068265,4.18174173558302e-05,0.0727259432275307,0.983122007064076,1709.7774035897
19.192793,51.12711,0.000441,"2020-04-10 13:35:46",415.476501,0.545558,0,51.121506,51.118999,51.132706,51.135223,19.16626,19.198761,19.219238,19.186798,-0.14349900000002,0.83,0.000411854806251473,0.00043037533582312,0.000440552910429848,0.000449381729784922,0.000495964313565794,1.44055794177561e-05,0.0326657129654333,3.88656388456367e-05,0.0881307003302419,4.1449470457905e-05,0.0939897289294898,0.993243944397376,2252.25384217092
19.195814,51.28458,0.000596,"2020-04-10 13:36:01",414.197144,0.598323,0,51.279224,51.276505,51.289951,51.292679,19.173126,19.205719,19.218323,19.18573,-1.42285600000002,0.83,0.000581182034476665,0.000605719680448454,0.000607136177756384,0.000619308787096315,0.000645262456030398,1.42224538881092e-05,0.0238631776646128,3.48338167169986e-05,0.0584460012030177,3.76254299865509e-05,0.0631299160848169,1.02317662881082,1716.73931008527
